x1,x2,x3,x4,x5,x6
1.0,9.22297951156925,85.16868395569463,787.4577399618263,7289.775795837528,67568.0591278373
1.0,9.22397951156925,85.18713091471776,787.7132736836318,7292.926137846372,67604.5158822456
1.0,9.22497951156925,85.20557987374093,787.9688627493149,7296.077502100792,67640.98839091953
1.0,9.22597951156925,85.22403083276404,788.2245071648742,7299.229888822168,67677.47665897074
1.0,9.22697951156925,85.24248379178718,788.480206936311,7302.383298231915,67713.98069151219
1.0,9.22797951156925,85.26093875081034,788.7359620696252,7305.537730551477,67750.50049365794
1.0,9.22897951156925,85.27939570983348,788.9917725708162,7308.693186002299,67787.03607052294
1.0,9.22997951156925,85.2978546688566,789.2476384458839,7311.849664805871,67823.58742722351
1.0,9.230979511569249,85.31631562787973,789.503559700829,7315.007167183701,67860.15456887694
1.0,9.23197951156925,85.33477858690289,789.7595363416514,7318.165693357326,67896.73750060168
1.0,9.23297951156925,85.35324354592602,790.0155683743506,7321.325243548292,67933.33622751721
1.0,9.233979511569249,85.37171050494915,790.2716558049267,7324.485817978183,67969.95075474422
1.0,9.23497951156925,85.3901794639723,790.5277986393804,7327.647416868606,68006.58108740445
1.0,9.23597951156925,85.40865042299544,790.7839968837108,7330.810040441181,68043.22723062072
1.0,9.236979511569249,85.42712338201856,791.0402505439181,7333.97368891756,68079.88918951702
1.0,9.23797951156925,85.44559834104172,791.2965596260029,7337.138362519429,68116.56696921847
1.0,9.23897951156925,85.46407530006485,791.5529241359645,7340.304061468474,68153.26057485113
1.0,9.23997951156925,85.48255425908798,791.809344079803,7343.470785986425,68189.97001154239
1.0,9.24097951156925,85.50103521811114,792.0658194635193,7346.638536295035,68226.69528442068
1.0,9.24197951156925,85.51951817713427,792.322350293112,7349.8073126160625,68263.43639861538
1.0,9.24297951156925,85.5380031361574,792.5789365745818,7352.977115171312,68300.19335925719
1.0,9.24397951156925,85.55649009518055,792.835578313929,7356.147944182606,68336.96617147788
1.0,9.24497951156925,85.57497905420368,793.092275517153,7359.319799871777,68373.75484041015
1.0,9.24597951156925,85.59347001322682,793.3490281902541,7362.4926824607,68410.55937118806
